Animals,Coprostanol,Epicoprostanol,Coprostanone,Cholesterol,Cholestanol,5?-Stigmasterol,5?-Epistigmasterol,24-Ethylcoprostanol,24-Ethylepicoprostanol,Campesterol,Campestanol,Stigmasterol,Stigmastanol,Sitosterol,Sitostanol,Iso fucosterol,delta-Stigrnastenol
Birds,9,,,649,,,,10,,,,,,,,,
Brushtail possum,219,34,9,120,3,15,23,575,,21,23,15,,328,24,,40
Cat,397,3,5,750,41,9,1,97,,38,48,27,,240,92,11,10
Chicken,0.6,0.01,,339,8,,,119,,45,,45,,1071,,,
Cow,203,54,84,223,128,,,,,56,,66,377,,,,
Cow,213,15,19,201,69,,,,,20,,21,43,,,,
Dingo,47,0.57,,16825,205,,,16,,4,,4,,123,,,
Dog,8,,,1569,71,,,,,118,,29,,274,,,
Dog,8,,,1570,,,,,,,,,,,,,
Dog,1.5,,,5871,30,,,,,61,,61,,1234,,,
Donkey,131,12,,24,20,,,83,,15,,15,,131,,,
Duck,29,,,342,13,,,41,,118,,92,,475,,,
Duck,1,,,134,3,,,48,,9,,9,,220,,,
Hen,12,1,3,219,12,3,,58,,67,63,40,6,331,92,10,13
Horse,43,5,,39,25,,,91,,29,,26,,218,,,
Horse,90,22,,16,32,,,51,,15,,15,,59,,,
Human,3432,,,290,,,,1245,,,,,,,,,
Human,3430,,,746,,,,1250,,,,,,,,,
Human,2036,,,1201,,,,15,,,,,,,,,
Kangaroo,83,0.83,,81,15,,,43,,32,,32,,199,,,
Koala,15,0.016,,29,0.021,,,0.027,,0.022,,0.022,,340,,,
Lamb,336,10,,327,42,,,69,,4,,4,,22,,,
Magpie,7,18,3,1233,131,,,,,113,21,29,1,290,91,13,29
Pig,353,25,,127,45,,,334,,12,,,,139,,,
Pig,530,88,,69,63,,,183,,7,,,,151,,,
Rabit,507,0.25,,304,237,,,386,,60,,60,,969,,,
Ringtail possium,249,6,1,106,35,,,739,,27,57,28,1,338,143,,49
Rosella,1,,1,896,34,,,,,396,4,342,27,2613,42,147,495
Seagull,13,,5,746,14,1,,132,,6,,21,2,67,7,,1
Sheep,170,,,111,,,,246,,,,,,,,,
Sheep,170,,,111,,,,246,,,,,,,,,
Swan,,,,125,3,,,,,39,,167,2,488,13,126,8
Turkey,0.9,0.1,,159,5,,,76,,13,,13,,434,,,
Water Buffalo,15,2,,9,7,,,43,,5,,5,,20,,,
