Animals,Coprostanol,Epicoprostanol,Coprostanone,Cholesterol,Cholestanol,5?-Stigmasterol,5?-Epistigmasterol,24-Ethylcoprostanol,24-Ethylepicoprostanol,Campesterol,Campestanol,Stigmasterol,Stigmastanol,Sitosterol,Sitostanol,Iso fucosterol,delta-Stigrnastenol
Cow,203,54,84,223,128,,,,,56,,66,377,,,2.1,
Cow,213,15,19,201,69,44,33,184,,20,169,21,43,187,210,,
Horse,43,5,7,39,25,23,12,91,,29,45,26,11,218,50,2,56
Sheep,170,16,17,111,49,73,,246,67,46,33,22,36,196,135,,68
Brushtail possum,219,34,9,120,3,15,23,575,,21,23,15,,328,24,,40
Ringtail possium,249,6,1,106,35,,,739,,27,57,28,1,338,143,,49
Cat,397,3,5,750,41,9,1,97,,38,48,27,,240,92,11,10
Dog,8,,,1569,71,,,,,118,39,29,5,274,58,9,11
Hen,12,1,3,219,12,3,,58,,67,63,40,6,331,92,10,13
Seagull,13,,5,746,14,1,,132,,6,,21,2,67,7,,1
Duck,29,,3,342,13,,,41,,118,12,92,2,475,76,45,36
Magpie,7,18,3,1233,131,,,,,113,21,29,1,290,91,13,29
Rosella,1,,1,896,34,,,,,396,4,342,27,2613,42,147,495
Swan,,,,125,3,,,,,39,,167,2,488,13,126,8
Pig,353,25,11,127,45,,,334,,12,99,,,139,127,,18
Human,3432,52,29,290,70,135,6,1245,,12,84,18,7,121,60,,52
Human,3430,,,746,,,,1250,,,,,,,,,
Dog,8,,,1570,,,,,,,,,,,,,
Sheep,170,,,111,,,,246,,,,,,,,,
Birds,9,,,649,,,,10,,,,,,,,,
Human,2036,0.026,,1201,62,,,15,,112,,6,,117,,,
Lamb,336,10,,327,42,,,69,,4,,4,,22,,,
Cow,72,0.7,,90,9,,,6,,2,,2,,11,,,
Pig,530,88,,69,63,,,183,,7,,7,,151,,,
Donkey,131,12,,24,20,,,83,,15,,15,,131,,,
Horse,90,22,,16,32,,,51,,15,,15,,59,,,
Water Buffalo,15,2,,9,7,,,43,,5,,5,,20,,,
Rabit,507,0.25,,304,237,,,386,,60,,60,,969,,,
Kangaroo,83,0.83,,81,15,,,43,,32,,32,,199,,,
Koala,15,0.016,,29,0.021,,,0.027,,0.022,,0.022,,340,,,
Dog,1.5,0.016,,5871,30,,,129,,61,,61,,1234,,,
Dingo,47,0.57,,16825,205,,,16,,4,,4,,123,,,
Chicken,0.6,0.01,,339,8,,,119,,45,,45,,1071,,,
Duck,1,0.24,,134,3,,,48,,9,,9,,220,,,
Turkey,0.9,0.1,,159,5,,,76,,13,,13,,434,,,
